abstract,categories
if china wants to stop accusations of xinjiang abuses hitting main stream media...i don't know but maybe stop abusing people in xinjiang???? ,:man_shrugging:
" the us passport holders are forbidden to enter xinjiang. my boyfriend is a chinese. we visited his family in china. i've always wanted to visit uyghur to taste the grape and honeydew there, but i learned that us citizens are not allowed to visit xinjiang or tibet.",:sob:
" yeah i definitely didn't read it right  i apologise, i am actually in support of the xinjiang people but idk why my brain decided to misread the article's title",:sob:
Meghan Markle coffee firm bought oat milk from company in China's 'police state' Xinjiang province WOKE IS AS WOKE DOES! Hmmm... what about that WOKE word again?  Hmmm....,:thinking_face:
" Going by the same Xinjiang narrative, the new figure will be 1 million Tibetants in labor camps soon ",:smile:
"Funny how white conservatives can recognize genocide in China (HK, Xinjiang) but can’t in Israel ",:face_with_monocle:
"  you are so funny , how many foreigner visit the xinjiang ? you need a guide is mendatory for visit xinjiang, you cannot go where you want freely, so explain why ?",:joy:
 how could there be slaves in a socialist country? welcome to xinjiang and i am sure facts will eventually scotch these rumors.,:cry:
Biden is a BLUNDER for USA.  now USA will loose a very stratagic important place from where US can spy on china. (Because afganistan shares border withXinjiang) And As well US can put his eyes on Russians movements. Now US will loose it's very important military base.,:point_right:
"You don’t know any Uyghurs living in Xinjiang, do you?  Maybe that’s why you’re so gullible.",:thinking_face:
Nice ethical source ingredients you have there Meghan Markle coffee firm bought oat milk from 'police state' Xinjiang via,:joy:
Anybody can make up any number of stories they like. Without evidence to back it up it means nothing. 10 years in Xinjiang not one photo or video. GTFO. The opening paragraph sounds like script from some gangster movie. ,:clap:
"The policy of repression of Uyghurs in Xinjiang has become a significant element of criticism of China in the world. In March this year, the EU, U.S., Canada, and the United Kingdom imposed sanctions on China over the matter.""""- by",:arrow_down:
Yes #HumanRights is not your things to accept as #basicrights we can see in #hongkong and #Xinjiang. According to you #US and #EU should only cut some #socialCredit  from #Belarus president. #BelarusHighjacking,:joy:
 you do have fake account. show us some pictures of you travels please! you’re have never even been to xinjiang ,:joy:
" if spreading rumors to discredit a country is """"doing the right thing,"""" then just go ahead and do it. there is no need to see the real situation in xinjiang, and no need to know that xinjiang has already used machines to harvest cotton. ",:sweat_smile:
" you mean to say that bitcoin mining with coal originated energy from Xinjiang, China has something to do withmajority of the solar panels that are produced in Xinjiang, China? ",:face_with_monocle:
" real xinjiang channels (uyghurs ; other ethnic groups)refuting all lying lunatic, stereotypes genocide falsely claims, nonsense sterilization propaganda by diplomats clowns!  check out all their messages. many in each channel. mostly with eng subtitles",:clown_face:
" question, why does congress support israel but not xinjiang policy then?  why does the muslim world support xinjiang policy but disavow israeli treatment of palestine, and broad intervention in the middle east that genocides people and displaces tens of millions? ",:upside__down_face:
 The contrast of eid in Palestine and Xinjiang tells you everything you need to know about oppression of Muslims but let’s side with USA and imperialism ,:flushed:
tomato products are a big export for #xinjiang. so as a liberal it would be hypocritical of me to not point out that one major buyer of xiniang tomatoes is hienz. “is there any cotton picked by xinjiang children in the clothing of international famous brands?”,:scream:
A harrowing in-depth account of what is happening in #Xinjiang.To be read and re-read! #UyghurGenocide,:point_down:
And killed lakhs of people in a single hydrogen bomb test. And also operated schools based on Xinjiang model,:satisfied:
"“i go live on douyin every night, and chat with pretty ladies from xinjiang. if people in xinjiang really have no freedom, how can they use douyin every night?""""  ",:zany_face:
"Madam, if you want to find more, I hope you can go to Xinjiang to find more powerful evidence",:smiley:
it is with pleasure that i thank dilraba dilmurat for her support of china's xinjiang policy and for defending her homeland against the false accusations of the west and the big brands with which she has left her partnership. a heroine who acts for the whole country! ,:flag_for_China:
" all the while, nothing, nobody says squat, all western msm silent, all they wanna talk abt is ridiculing china on xinjiang genocide, mass rape etc without any evidence whatsoever. enough is enough!!!  it's time that ppl stood up to this  propaganda ; double standards:flag_for_Palestinian_Territories::flag_for_Palestinian_Territories:",:shit:
 The same autonomy that Xinjiang or Tibet have? ,:face_with_monocle:
"Another Great thread debunking Adrian Zenz's non-peer-reviewed, flawed “reseaech” on Xinjiang forced labor.",:thumbsup:
the xinjiang that western media don't want to you to see | real xinjiang... via alex from xinjiang! thanks for this ,:fire:
" hi, i apologise for the tweet  i misunderstood it and thought he was cutting the contract bcs he was in support of the xinjiang people when it is actually the other way round",:sob:
"If the Chinese Govt genuinely wanted to commit #Genocidein Xinjiang, why did the Covid virus allegedly break out in Wuhan 3,404 kms (2,115 miles) away?  Death toll UK 127.K. Death toll USA 586.6K. Death toll China 4.6K. Source: Johns Hopkins University USA.#Projection :smiling_imp:",:thinking_face:
I'll ask.. And ure free to post tweet of me ragequiting.. Shouldnt be too hard.. Don't wanna be proven a liar again... Actually if u remember in that debate.. Only your friends from Xinjiang victims database ragequit after I faced them with their fake witnesses facts.. Hmm ,:thinking_face:
"All the china xinjiang,tibet ,inner Mongolia provinces ,issues is actually natural resources are rare mineral like lithium,uranium ,gold,copper and etc rare mineral in China tree provinces that are the old timer irresponsible super power countriesreal target ",:innocent:
"adidas forbids the use of xinjiang cotton, and regards the uygur people's labor in factories and planting cotton as an oppressive act, but its spokesman in china is xinjiang uygur's delireba! why? #china #xinjiang #uyghurs #ccp #adidas #delireba #cotton #bci #usa ",:flag_for_China:
"I don’t have reason to doubt that there’s something going in Xinjiang, that there could even be repression"""" try again ",:man_shrugging:
" iraq has wmd saddam throwing babies asad launched chemical weapon gaddafi ordered mass rape china doing uyghur genocide all are fake, us needs just another excuse to invade/fund-terrorists in xinjiang to steal oil and destabilize bri. china stay strong. ",:flag_for_China:
" Meanwhile, millions of 'genocided' #Uyghurs are enjoying their happy life in #Xinjiang, wondering why there are so many silly people in the west believe in #UyghurGenocide lie. ",:wink:
" I have a similar map with 'star' pins as well ! Maybe the """"Xinjiang Victim Database"""" would take that into account as well :rolling_on_the_floor_laughing::smile::wink: !!",:satisfied:
"Ahead of their #CBA Playoffs 2nd Round clash, Xinjiang squad including ,andwatched Shandong vs Guangzhou from the stands.On Sunday night 19:35 BJT, they'll face challenges from the Heroes on both ends led by .",:eyes:
" sports brand anta is quitting the better cotton initiative, and will keep using xinjiang cotton, denying there’s any forced labor in china. other  brands will certainly follow suit. i’m wondering what the international brands will do. be ethical or be boycotted?  ",:flag_for_China:
the most beautiful xinjiang i love you  ,:heart:
“The incontrovertible abuse of human rights was acknowledged by the Parliament of Canada in solidarity with the plight of the Uyghur people.” #uyghur #china #crime #un #canada #Xinjiang #Uyghurs #UyghurGenocide•  ,:point_right:
"If Xinjiang didn't want to be targetted by USA propaganda, maybe it shouldn't have oil ",:upside__down_face:
This strange LED-Solar contraptionwas most likely not made in E.U or I suspect cheap #Solar cells from #Xinjiang and manufactured in Good price on mustard  ,:flag_for_China:
" westerners think that china's industrialization poses a threat to them, but they don't believe that in xinjiang, the cultivation has already mechanized. what a contradiction",:sweat_smile:
"This is incredibly scary: """"A camera system that uses #AI and facial recognition intended to reveal states of emotion has been tested on #Uyghurs in #Xinjiang"""" #FacialRecognition #artificialintelligence",:scream:
"the us and canada follow the eu and uk to sanction chinese officials over """"xinjiang""""  ",:clap:
"#ludemedia mar 22 eve :flag_for_United_States:-:flag_for_United_Kingdom:-:flag_for_European_Union: jointly sanction:flag_for_China:officials over xinjiang genocide :flag_for_United_States:reconnaissance :airplane: close to :flag_for_China:, only 25.33 nm from the coast of fujian ; guangdong :white_check_mark:24 nautical miles is the red line :flag_for_France: will summon :flag_for_China: ambassador who is verbally abusive to :flag_for_France:people",:fire:
"This is a drone footage of Urumqi, Xinjiang. Breathtaking, beautiful scenery, isn't it?",:point_down:
"h;m faces backlash in #china over its decision not to use xinjiang cotton due to forced labour concerns, while muji has distanced itself from boycotts, stating it will continue using xinjiang suppliers. read the latest on xinjiang cotton ; #forcedlabour  ",:point_right:
" So you,andare authoritative experts on Xinjiang? Have you guys been to Xinjiang?",:joy:
" they must not konw that most of the cotton pickers in xinjiang are from other provinces, and they can earn 20,000-30,000 yuan through the three-month picking season",:sweat_smile:
" wants google email address to read a headline. also, they do not know how to share said headline to twitter without inserting random characters.  h;amp;m responds to a firestorm in china over xinjiang cotton. ",:point_down:
"I have been in Xinjiang I traveled through, that's was so much exciting journey was, the people were so loving and i love their hospitality, and the food was yummy and delicious , I would love to go again ",:heart:
"uighur muslims first started coming to turkey in the 90s, fleeing from persecution in their home of xinjiang, china. now, they are helping the syrians who have found refuge here in more recent years  ",:point_down:
"nice to see #huachunying 华春莹 explaining to the #bbc that they don't need a video by me, or consultation with the bbc, to know what #adrianzenz is. zenz explains there was no evidence in his own words! duh! #xinjiang #uyghurs #propaganda ",:zany_face:
"#ludemedia mar 24 h;m was attacked bysocial media for boycotting xinjiang cotton :small_blue_diamond: 445 stores in china, ￥7.4b sales in 2020 24 :flag_for_United_States: lawmakers call for talks w/:flag_for_Taiwan:on trade deal ny post calls covid-19 the ccp virus :boom: spoxwomen likens nato to the eight-nation alliance ",:fire:
 Thank you . The has declared for the first time that #genocide is taking place against #Uyghurs and others in #EastTurkistan (aka Xinjiang).My father died as the result of the #UyghurGenocide committed by China.,:point_down:
it’s shock to hear this news! #muji decided to hide ; replaced “xinjiang cotton” by “organic cotton” in order to sell the goods in #hongkong #taiwan #japan wtf! can we still trust products tell me plz ,:scream:
 Dutch state propagandamedia create more lies and smears about subsidised ‘wrong’ Chinese solar panels instead of the fact of 30 diplomats from over 20 countries visited Xinjiang ,:point_down:
" Xinjiang. During an important meeting with Chinese Vice Minister of Foreign Affairs, Xie Feng, Ecuadorian Ambassador Carlos Larrea acknowledged #China's political commitment to further increase cooperation for the supply of vaccinesagainst #Covid19",:flag_for_China:
" u complete #cpec immediately, make pakistan a province of #china get all of them to visit #xinjiang, get #taliban also to #xinjiang - when they see with their own eyes there is no problem - u will win. get to work #uighurgenocide is a reality. #world knows stop bluffing ",:grinning:
"Ableism, you seem like a very cool dude.And if you could read properly maybe you'd find that what the US does/has done in the region and the narrative they push in regards to China and Xinjiang is very relevant. It is to me, not looking to just swallow propaganda wholesale.",:thumbsup:
 So you are not considering Xinjiang as part of China.  And the minor issue of capital - Lhasa or Dharamshala?,:thinking_face:
No freedom of press in China but allows western MSM's to roam around Xinjiang...,:joy:
" why the hell you keep lying, michael? such a ! didn’t some foreign government force these companies to make a xinjiang announcement to stir up the pot? the companies might be innocent. the main purpose is to mess us china’s textile industry. here you go, photo of “forced labor” ",:clown_face:
Arent you also going to share the good news from the Xinjiang Uygu₹ Autonomous Region of China too ? Or is that too  for u to digest ?,:wink:
"balanced #china should accept responsibility about it's human rights red flag areas. logical aim is to re-educate, transition away from rural farming, reduce islamic fundamentalism in #xinjiang. at what cost? now seems policy is too extreme. how do #uighurs feel about policy?",:arrow_down:
" comparing real apartheid in palestine being funded by the us, is not the same as the fake “uyghur” genocide that the us is trying to sell you so they can get xinjiang oil. the us doesn’t give a fuck about muslims, we still have troops in the middle east  so dumb",:joy:
Goodnight #Xinjiang My love ,:heart:
"Oh- so maybe Turkey has their own problems to deal with before pointing fingers at China on human rights abuses, when your government doesn’t allow for democracy &amp; is literally a terrorist state which aided in the tensions of Xinjiang to begin with ??? ",:zany_face:
#HomeandAway There's a Xinjiang everywhere!  ,:point_down:
" andare not human rights activists, nor do they represent the interests of the Uyghurs in general, they are just political activists plotting to do a war in Xinjiang in order to liberate """"their East Turkestan"""" and they say it's international law ",:clown_face:
 Call for Action Today Parliament is voting on whether to declare China’s treatment of Uyghur Muslims in East Turkestan (Xinjiang) as genocide. #CallItGenocideHere are 4 things you can do,:rotating_light:
"Because the people on the right attack with bombs, killing ordinary people on the street, want to use blood and tears to create a burning land, let the war come to Xinjiang",:cry:
" Wait, I thought all the Muslims in Xinjiang were in internment camps ",:thinking_face:
"okay, so these celebs cut ties with the brands because the brands called out the alleged forced labor in xinjiang cotton? i thought it was the other way around and uhmmmm ",:grimacing:
" the masters of lying and propaganda (#ccpchina) are spreading their """"truth"""". another example of how #commism destroys the heart of people. lying is the norm. recommending this petition   #china #genocide #uighurgenocide #xinjiang ",:arrow_right:
" this is xinjiang. it is the 21st year of the 21st century. my friends, china is the largest industrial country and the world's second largest economy. do you think we are prehistoric humans. omg! ",:joy:
truth xinjiang !very beautiful and peaceful ! ,:thumbsup:
"NEW: Many thanks &amp;-for a fascinating view to China's #regime, #Xinjiang, its footprint across #Central Asia &amp; relations with #Russia &amp; #US.",:rotating_light:
" A new actress  Then can you explain this, Roth?Here is a uyghur ethnic From XinJiang China.",:thinking_face:
"China your country xinjiang province there has raw rare black oil in billions tons including China Tibet province there has raw rare mineral uranium,lithium,gold and etc also China inner Mongolia province there has raw rare mineral that electronic and appliances use daily",:innocent:
" So Madarsas tell you about Xinjiang.... or show some videos from there too...??Your people, your girls,,, all of it ...? .",:flushed:
 xinjiang specialty delicacy,:wink:
 weak chinese sanctions exclude chen quanguo architect of #uyghurgenocide omits xinjiang public security bureau :oncoming_fist_light_skin_tone:like excusing adolf hitler ; ss from blame for holocaust vote #genocideamendment ,:point_right:
 Adrian Zenz said “Tankie” and an AUSTRALIAN actually used the word “decolonize” in reference to Xinjiang. You might be right!How beautiful would it be if EVERYONE FROM XINJIANG told this guy “shut up and decolonize the indigenous people in your country already”?? ,:smiley:
#airbnb  #ioc  #2022genocideolympics :skull_and_crossbones: the chinese communist party (ccp) as a transnational organized crime group #hostagediplomacy #ccpvirus attacks hollow out #innermongolia #hongkong #xinjiang #tibet #china :clown_face: orwellian social credit system ,:zzz:
CCP angered by this? Renwei spy on Uighurs  Twitter censors search results #NoResults Fuck off “A Company That Spies On Prisoners In Xinjiang Won An Award At An Amazon-Sponsored Event” by ,:flag_for_China:
" jesus! have you ever been in xinjiang? you think this video and these photos are fake. but you never doubt the real fake news. anyway, you just choose to believe those things you want to believe, just like we can never wake up a person who is pretend to sleep,",:innocent:
all eyes on the #bond market as yield rise rattles the fed… #china and the us clash over xinjiang and hong kong… #samsung warns of chip shortages… eu #vaccine rollout remains in chaos… rounds up last week’s market-moving events ,:point_right:
  late night owl  play xinjiang flying tigers   ,:flag_for_China:
"h;m, nike face boycotts in china as xinjiang dilemma deepens via money or morality/eyes  wide open/hair cuts are good business",:eyes:
 It's apparently only banned in East Turkistan. It's evidently not banned in Xinjiang. ,:wink:
the fact is that，the people of xinjiang are living happily!！,:thumbsup:
 oh this is awesome!!!  go xinjiang!!!!! sue them till they got nothing left!!!!! ,:sunglasses:
" any journalist can go to xinjiang right now and take photos to prove the mere existence of """"prison camps"""". in fact, even photos of the outside of the """"prison camps"""" could do. oh wait the best we got is google maps pictures of schools ",:joy:
"#我支持新疆棉花 ouyang nana ended her contract with converse .please continue to support the cotton of beautiful xinjiang, supporting our country first.  #歐陽娜娜 #欧阳娜娜 #ouyangnana #nanaouyang ",:heart:
 i don't know either . but western politicians like to describe xinjiang like the one in the left. and they even believe it...,:sweat_smile:
 please stop the forced labor in #xinjiang #china  ,:cry:
" So, coal-fired electric plants in Xinjiang are also considered """"Green and renewable"""" energy as well? ",:smirk:
" the truth is that you are a liar！have you been to xinjiang？do you have any evidence? oh, i've been there, so i know you are a liar",:thumbsdown:
"Distribution of Bitcoin Mining in China，This picture should be calculated in winter, Sichuan will be more hashrate in summer than Xinjiang. Because Xinjiang uses environmentally friendly thermal power, Sichuan uses hydropower。",:grin:
"There is no doubt that Xinjiang’s fight against terrorism and extremism is an important component of the global struggle, and has made an important contribution to the latter. ",:arrow_down:
" no they are not imprisoned. if you don’t trust me, you can go to xinjiang and take a look. it’s safe there",:smiley:
" Free Tibet, free Xinjiang, free Hong Kong, free inner Mongolia, free manchuria ",:smirk:
"god bless xinjiang, that is why we hate china so much, because it is a terrible country to kill many people! and we hate disgusting businessman,too! fuck you rbw  taiwan is taiwan hong kong is hong kong it's the worst thing that you put such terrible country to me!",:rage:
"My West friend the all china xinjiang issues,Tibet issues, inner Mongolia issues is just a diversion of their real target ,their real target was China rare mineral that can be found in broth the three provinces of China ,xinjiang province is raw black oil in billions tons",:innocent:
"Can’t wait to travel to see people, culture, dance and food#Xinjiang ",:thumbsup:
" All they know about #Xinjiang is based on fake narratives, &amp; they cried out for justice! Then there were videos about children &amp; people killing at Gaza, they suddenly silenced all the news..... :face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes: who lies about #Ouighours genocide? Isn’t it obvious ?",:scream:
 What actions? He was the only c-idol that didn’t post the ‘I support xinjiang’ picture  y’all just made him the face of the subject cause he’s the most relevant,:sob:
" Wuhan, Xinjiang, Hong Kong, Taiwan, even cotton, and finally seafood products, what other tricks does the United States use to discredit China?Let's continue to watch the crazy actions of the United States!",:grin:
" it’s really ridiculous when others show evidence while you are repeating the empty words that fake media tell you  i saw so many american people yelling about xinjiang human right, even without any pics ",:zany_face:
"BTW, do you know how funny a fool who has never been to Xinjiang said that people who have been to Xinjiang do not know Xinjiang? ",:smile:
"Our commonsense should be good enough to tell if the Xinjiang genocide is a fake or not. This should be B/W simply like people need food &amp; no much need to grab scientific evidence for demonstration. However when US lying machine starts to work, a vial of powder can be Iraq MDW",:wink:
 Any words for millions of your community members in Chinese camps in Xinjiang treated like vegetables? Bloody selective protestor ,:rage:
" """"yeah i look down on third world countries who were victims of western colonialism and racist exploitation for centuries but hey i support chinese muslims in xinjiang!""""  ",:joy:
"Weird, is there no Eid in Xinjiang? ",:thinking_face:
 some westens never been to xinjiang but know more than the natives,:joy:
 There are missiles aimed at this Uyghur just like in Gaza. If she marches outside of Xinjiang she will be killed.... What! She just take a train or flight to anywhere in China.  of MSM.,:clown_face:
" they even didn't go xinjiang to interview local person,they just find a asian who hate cn lol",:satisfied:
 Are you not in control of Xinjiang?! ,:joy:
 it's funny that a foreigner thinks that he knows much more about china uyghur than chinese and people in xinjiang.what he had done is just watching reports of foreign media to gain his 'justice' knowledge but not really see it by his eyes.,:sweat_smile:
"TBMKB madar de,uh keep looking for son in laws for ur Xinjiang girls nd if uh don't find any1 just send them here we will deal with that chikne . Take the appreciation #CKMKB",:heart:
a british newspaper now reports on the xinjiang birthrate.. and they say the deep state doesn't exist:person_facepalming:heard of covid anyone?,:joy:
:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::joy::joy: Cute baby from Xinjiang,:smiley:
 Congratulations #Xinjiang #china #HongKong #korean #KoreanActors200 #korea #northkorea #southkorea #Parasite #india #delhi #bombay #poona #pune #mumbai #tenet #ChloeZhao #Nomadland #Oscar2021 #Oscars #lagaan #water #PriyankaChopra,:clap:
"#FreeUyghursToday, we took part in an action at the Palais des Nations, outside theCouncil, demanding the int'l community ACT amid the genocide happening right now in Xinjiang and work to relocate the #GenocideGames.Watch NOW  ",:point_down:
" From CCP's view, a """"beautiful Xinjiang"""" is a place without Uyghurs and Muslim culture and religion.CCP is forcing Uyghurs to throw away their own culture and accept Han culture. #FreeUyghurs",:face_vomiting:
 it seems that you have been to china and xinjiang！you care more about chinese people than anyone else!୧୨୧୨୧୨how ridiculous!an american cares so much about china! but don't care about black americans!,:joy:
"What's """"doomed to fail"""" is #China telling govts that all's well in #Xinjiang.has documented #CrimesAgainstHumanity against Turkic Muslims on massive scale.Tune in live to virtual UN event on Xinjiang at 10am ETHRW",:point_right:
This is hilarious  hotties for Xinjiang ,:joy:
"but that was just then guys, they [the cia and western hegemony] were only doing that in the ussr...and indonesia...and chile...and guatemala... cuba...and korea...and...vietnam... they’d never be doing that in xinjiang in china. trust us.  blackshirts and reds, pp 76 ",:sunglasses:
China With Some Truth Bombs About America  #Assange #Australia #China #US #USA #America #Uyghurs #Xinjiang #BreakingNews,:point_down:
.@USUN hosted a high-level virtual discussion of the events in #Xinjiang against Muslim UyghursRead ’s full remarks below  ,:arrow_down:
"“We also learned that the area in Xinjiang where all that mining happens is much smaller than previously believed. It underscores China’s dominance in Bitcoin mining, and that dominance raises big security concerns.” ",:face_with_monocle:
" Born and raised in Xinjiang, I've always been bearing a profound hatred for those terrorists and separatists. In my opinion, those """"people"""" who call Xinjiang as """"East Turkestan"""" are all terrorists!",:rage:
i love xinjiang cotton!i love my country!,:sob:
"In this video, #Uyghur child working in a cotton field China is doing d systematic Genocide of Uyghurs in #Xinjiang. They are subject to forced sterilisation, coercive labour, illegal detentions...Int'l communities must intervene ! ",:point_down:
"cotton planting, harvesting in xinjiang - youtube#:clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone: ",:thinking_face:
" a so called """"expert"""" who has never been to xinjiang  only following the western narration to please white supremacists and imperialists. in this way, you can get a permanent residency and a stable job. how cheap you are! shame on you, xu:middle_finger_medium-light_skin_tone:",:thumbsdown:
last week on hamilton : :point_right:targeted :flag_for_Canada: after canadian parliament voted to declare chinese authorities’ actions in xinjiang a genocide :point_right:continued its vaccine diplomacy efforts by promoting the successes of its global vaccine distribution efforts ,:flag_for_China:
" First admitting his Xinjiang “research” (leave it to him to insinuate it in the same tweet) was sponsored by BBC, now using the word “tankie” as a pejorative. What’s next? ",:joy:
biden’s gonna call putin a killer for no reason but not say anything to china about xinjiang concentration camps ,:joy:
"This is a lake in Xinjiang, China, ignorant Japanese",:grimacing:
"it is funny of the western government #xinjiangcotton #xinjiang #china just look what they(black) been surfered in their history. why the western always said xinjiang about the human right？cause they did make black people live without any human right before,even for now. ",:clown_face:
"Today，In an open-air prison, Uighurs and Han people in Kashgar, Xinjiang celebrate Eid al-Fitr.#EidAlFitr Luckily, there are no bombers in the sky",:pray:
"Look at her """"Xinjiang"""" source!!!  ... I've always understood that the CCP trolls retweet and echo the  government media, but had NO idea it works the other way around, too:face_with_rolling_eyes: Here Liu Xin from CGTN retweeting (a)GulnarNorthwest! No wonder their news lack credibility! ",:grimacing:
"for the serious genocide, chinese foreign minister's statement is so weak that it for sure convinces everyone that something terribly is happening in xinjiang",:cry:
"lessons from the ‘battlefield’ china’s reaction to the #eu’s measured position in imposing sanctions to 4 individuals ; 1 entity because of human rights violations in #xinjiang is disproportionate ; an escalation. 10 people, 4 entities ’s #psc ",:arrow_right:
" """"xinjiang"""" is expanding too fast  ",:grimacing:
#xinjiang do you support xinjiang cotton？ #xinjiangcotton i think xinjiang cotton is clean and flawless。:smiling_face_with_hearts: ,:thinking_face:
Xinjiang province represents 36% of Chinas hash power. I think  your calculator is broken.,:thinking_face:
People have a responsibility to stop the spread of those extreme ideas! The Chinese government has made efforts in Xinjiang.,:point_right:
"bbc john sudworth also conducted interviews with western anti-china activists adrian zenz (so-called “xinjiang experts”),which further strengthened his smearing of china and distortion of xinjiang’s reality. 2",:point_right:
" yeah and there's actually jiangxi province in china too...the abbreviation of xinjiang province is xjp which is same as xi jinping, lots of fun to make... but we had typos all the time so no big deal... at least you've been there and know where it is, unlike our old friend cnn ",:joy:
 beautiful chinese lady from xinjiang. her testimony is touching. her dad is hui and mother is uyghur  ,:grin:
"+u.Thers many wishes,but simple wish(ie to eat Xinjiang rice noodles made by u).hope Im fullfilled.Goddess,reply me~ Happy birthday#gulinazha """"Come to my house, lets feel evening breeze,give you whole bowl of noodle(made by me)"""" SY """"u reply, im ready,waiting for noodle"""" ",:heart:
" one big problem was? how comes the peoples really lives in xinjiang ; tibet said their stories completely different than what your sources were saying really, what a joke! don’t you all feel bad for doing this types of garbage?",:face_with_monocle:
 New butchering of pronunciation for Xinjiang Uyghur ,:man_facepalming:
" Foreign journalists will be funded and trained “to help expose and counter false CCP narratives”, specifically about “the negative impact” of the Belt and Road Initiative. ... ... Melissa, tell me, how much money did you get for reporting Xinjiang Uygur?",:point_down:
" Ha ha,They pay more attention on Ugyur people in Xinjiang China than Palestinian people. They talk about the human rights they want to talk and just ignore the human rights they don't want to talk. ",:joy:
" my brother and sister are fine,don't worry.don't stay at home all the time,go to xinjiang to have a look. ",:smiley:
 So you came from the re-education (concentration) camps from Xinjiang ,:joy:
Why would theinterview someone who has never been to China and can't speak a word of Chinese about China? At least Adrian Zenz went to Xinjiang for a holiday 15 years ago....#Xinjiang #China #Uyghurs,:thinking_face:
 more like forced labour on those harvester machines and robots nobody picks cotton by hand in xinjiang these days ,:sweat_smile:
"Xinjiang FAKE Eid PROPAGANDA. CCP ORCHESTRATED """"Happiness""""  ",:point_down:
why haven't zimbabwe speak up for china on the xinjiang cotton issue,:sob:
" You don't understand. The """"threat"""" of #TikTok to the #US is that we can find a lot of happy #Xinjiang #Uyghurs dailylife videos on there, which makes people with common sense hard to believe in US's #UyghurGenocide #forcedlabor lies! ",:wink:
" saying the truth = bashing  before americans speak about tibet, xinjiang, hong kong and taiwan, they should return the land to native indians and go back to uk and europe ",:joy:
#china firing warning shots to countries criticizing its policies on #muslim #uyghurs in far west #xinjiang region but also needs and wants foreign investment for its economy. tricky.,:thinking_face:
"last week on hamilton : :point_right:defended chinese government policies in #xinjiang, highlighting a cuban-led un statement :point_right:promoted the safety and efficacy of chinese coronavirus vaccines :point_right:highlighted issues related to the astrazeneca vaccine ",:flag_for_China:
Thank you for fighting for democracy  This is definitely one of the first steps to stop the genocide in Xinjiang...the EU will not contribute to this massacre!,:clap:
"come china and xinjiang to see if the ‘truth’ you tell is truth. stop being fooled by so many pictures and lies, by the way, xinjiang’s cotton are collected by machines not labors, unless u know china better than we do, ",:thumbsdown:
" here is what you do need to know, such as where is xinjiang.  ",:joy:
"""""China is targeting Muslim women in a push to suppress births in Xinjiang"""" ",:cry:
"Lol ever since my article on Xinjiang every post of mine with a photo I send to someone comes up with a warning, even if it’s just a normal post think my account is being restricted",:thinking_face:
" lol when did a country called east turkestan existed please let me know?  also uighurs arrived in xinjiang in the 12 century, while xinjiang has been part of china since han dynasty? you make claims but have nothing to show for it.",:joy:
The reason why these  conflate secessionists with real Uyghurs in Xinjiang is because they are Occidentalists. They don't understand the complexity of Chinese ethnic and cultural history so they flatten everything into a homogeneous western chauvinism. Zero knowledge.,:clown_face:
"'i reject these sanctions!' conservative mp, nusrat ghani, says her sanctioning has """"shed a spotlight"""" on the """"barbaric"""" human right abuses taking place in xinjiang. find out why china has put a ban on some uk citizens and organisations  ",:point_right:
wonder if they’re gonna try to extend that to expressing solidarity to Xinjiang next year or ,:eyes:
" does your god ever travel to xinjiang,china? suchalapdog.",:clap:
" canadian group echoes china’s party line on #uyghurs after getting $160,000 in public funds #uyghurgenocide #xinjiang #ccp #unitedfront #ufwd ",:scream:
" The thing here is that he's calling his friend Zenz a CIA agent  it's a massive Freudian slip if its true, because Zenz is pretty much the only source regarding the whole """"Xinjiang Uyghur genocide"""" story.",:sob:
 cheers let's throw some facts into the mix shall we? vocational training centres are china's humane and demonstrably effective counter to extremist fundamentalist terrorism. #china #xinjiang #uyghurs see also: and ,:wink:
"#xinjiang dance everywhere oh, no, this woman looks to be forced ",:joy:
 i’m sorry if i may wrong... do you h;m just take back the xinjiang labour cotton statement? u still prefer the dirty money from ccp? ,:face_vomiting:
 Seems like it bounces around. The last few months have been Xinjiang-Tibet-Xinjiang-Taiwan. Almost like they're focus-testing the most potentially widely-accepted excuse for a cold war ,:thinking_face:
" this is xinjiang's mechanized cotton picking. i heard that you are condemning xinjiang's """"forced labor""""? it seems that you have never seen the world, hahaha",:joy:
"Hello what do you think about this? Even sport event get politicized?I wonder if this would be disadvantage to the atheletes?Even though :flag_for_United_States: govt could not find any proofs abt Xinjiang,they just never stop creating lies",:point_down:
" leave alone. leave politics out of it. han  integrating w/ xinjiang isn’t a genocide. it’s a process proceeding reasonably well after a rocky start.  datafies everything including their police, they’re offering healthcare to people ; reeducating for integration.:vulcan_salute_dark_skin_tone:",:flag_for_China:
 and the western media's story of xinjiang is based on the past of the united states.be original，ok？,:joy:
